block,phrase_idx,start_s,end_s,dur_s,sentence_final,text
B01,0,0.0,1.3,1.3,False,해외로 가는 데이터
B01,1,1.4,2.6,1.2,True,위성으로 갈까요.
B01,2,3.0,5.5,2.5,True,구십구 퍼센트 이상은 바다 밑을 갑니다.
B01,GAP,5.5,6.0,0.5,True,(블록 갭 무음)
B02,0,6.0,7.3,1.3,True,왜 케이블일까요.
B02,1,7.8,10.2,2.5,False,위성은 외딴 곳과 비상 연결을 돕지만
B02,2,10.2,13.7,3.5,True,대륙 사이 대규모 데이터는 주로 해저 광섬유가 맡죠.
B02,3,14.1,16.4,2.3,False,여러 파장의 빛을 한 섬유에 함께 실어
B02,4,16.5,18.0,1.5,False,데이터를 보내는데요
B02,5,18.0,20.9,2.9,True,이 가느다란 유리는 어떻게 바다를 건널까요.
B02,GAP,20.9,21.4,0.5,True,(블록 갭 무음)
B03,0,21.4,24.8,3.4,True,케이블을 놓는 배는 선을 바다에 천천히 풀어냅니다.
B03,1,25.2,27.6,2.4,False,해안 위험 구간은 묻거나 보호하고
B03,2,27.6,29.4,1.8,True,심해 해저면에는 놓기도 하죠.
B03,3,29.9,33.2,3.3,True,긴 구간의 광 증폭기는 약해진 빛을 다시 키웁니다.
B03,GAP,33.2,33.7,0.5,True,(블록 갭 무음)
B04,0,33.7,35.7,1.9,True,처음부터 성공한 건 아닙니다.
B04,1,36.2,37.6,1.5,False,천팔백 오십팔 년
B04,2,37.6,39.7,2.1,True,대서양 전신 교신에 성공했습니다.
B04,3,40.2,42.7,2.6,False,하지만 케이블 손상과 높은 전압 등이 겹쳐
B04,4,42.7,44.0,1.2,True,오래가지 못했죠.
B04,5,44.5,45.8,1.3,False,천팔백 육십오 년
B04,6,45.8,47.9,2.1,True,개선한 케이블로 재도전했습니다.
B04,7,48.3,51.0,2.7,False,그런데 결함 구간을 끌어올리다 선이 끄너져
B04,8,51.0,52.5,1.5,True,심해로 가라앉았습니다.
B04,GAP,52.5,53.0,0.5,True,(블록 갭 무음)
B05,0,53.0,54.6,1.5,False,천팔백 육십육 년
B05,1,54.6,56.5,1.9,True,새 케이블을 먼저 연결했죠.
B05,2,57.1,59.3,2.3,False,이어 전년의 유실 지점으로 돌아가
B05,3,59.3,60.8,1.4,False,갈고리로 선을 건져
B05,4,60.8,62.9,2.1,True,두 번째 회선도 완성했습니다.
B05,GAP,62.9,63.4,0.5,True,(블록 갭 무음)
B06,0,63.4,65.5,2.1,True,오늘날에도 케이블은 끈킵니다.
B06,1,65.9,67.8,1.9,False,이천이십오 년 전 세계에서
B06,2,67.8,70.0,2.2,True,보고된 수리가 백칠십 건을 넘었죠.
B06,3,70.4,72.6,2.2,False,수리선은 먼저 고장 위치를 좁히고
B06,4,72.6,74.1,1.5,True,케이블을 찾습니다.
B06,GAP,74.1,74.6,0.5,True,(블록 갭 무음)
B07A,0,74.6,76.0,1.4,False,조건마다 다르지만
B07A,1,76.0,79.4,3.4,True,대표적으로 끄너진 케이블의 두 끝을 배 위로 올립니다.
B07A,GAP,79.4,79.9,0.5,True,(블록 갭 무음)
B07B,0,79.9,82.7,2.7,True,손상부 대신 새 구간을 이어 신호를 시험합니다.
B07B,1,83.2,85.6,2.4,True,이상이 없으면 다시 바다에 내려놓죠.
B07B,GAP,85.6,86.1,0.5,True,(블록 갭 무음)
B08_notag,0,86.1,89.2,3.1,False,결국 국제 데이터의 큰길은 하늘이 아니라 바다 밑
B08_notag,1,89.2,91.3,2.1,True,유리섬유를 흐르는 빛이었습니다.
B08_notag,END,91.3,91.3,0.0,True,(끝)
