mode,metric,value
existing_phrase,candidate_count,1
existing_phrase,successful_candidate_count,1
existing_phrase,failed_candidate_count,0
existing_phrase,failure_rate,0.0
existing_phrase,mean_content_accuracy,0.98
existing_phrase,mean_speaker_similarity,0.83
existing_phrase,mean_existing_prosody_score,0.78
existing_phrase,mean_phrase_transition_score,0.76
existing_phrase,mean_duration_seconds,8.2
existing_phrase,mean_generation_seconds,14.1
existing_phrase,mean_assembly_seconds,0.3
existing_phrase,total_processing_seconds,14.4
existing_phrase,real_time_factor,1.756098
sentence,candidate_count,1
sentence,successful_candidate_count,1
sentence,failed_candidate_count,0
sentence,failure_rate,0.0
sentence,mean_content_accuracy,0.97
sentence,mean_speaker_similarity,0.81
sentence,mean_existing_prosody_score,0.8
sentence,mean_phrase_transition_score,0.85
sentence,mean_duration_seconds,7.8
sentence,mean_generation_seconds,12.4
sentence,mean_assembly_seconds,0.1
sentence,total_processing_seconds,12.5
sentence,real_time_factor,1.602564
hybrid,candidate_count,1
hybrid,successful_candidate_count,0
hybrid,failed_candidate_count,1
hybrid,failure_rate,1.0
hybrid,mean_content_accuracy,0.7
hybrid,mean_speaker_similarity,0.8
hybrid,mean_existing_prosody_score,0.77
hybrid,mean_phrase_transition_score,0.82
hybrid,mean_duration_seconds,8.0
hybrid,mean_generation_seconds,13.2
hybrid,mean_assembly_seconds,0.2
hybrid,total_processing_seconds,13.4
hybrid,real_time_factor,1.675
